다시,again,,,,[sound:again.mp3],293
신문,newspaper,,,新聞,,294
여동생,younger sister,,,女--,[sound:youngersister.mp3],295
적다,"to write down, fill out;<div>to be small in quantity</div>",,,,[sound:towritedown.mp3],296
열심히,"diligently, passionately",,,熱心,[sound:diligently.mp3],297
손,hand,,,,[sound:hand.mp3],298
가르치다,to teach,,,,[sound:toteach.mp3],299
유월,June,,,六月,,300
아직,"yet, still",,,,[sound:still.mp3],301
이상하다,to be strange (unusual),,,異常·異狀,[sound:tobestrange.mp3],302
나중에,later,,,,[sound:later.mp3],303
등,"etc (など)<div><img src=""etc.jpeg"" /></div>",,,等,,304
회사원,company employee (in an office),,,會社員,[sound:companyemployee.mp3],305
놓다,"to lay, put, place;<br>to let go",,,,[sound:tolay.mp3],306
조금,a little,,,,[sound:abit.mp3],307
음식,food,,,飮食,[sound:food.mp3],308
운전하다,to drive,,,運轉,,309
곳,place,,,,,310
남동생,younger brother,,,男--,,311
짧다,to be short,,,,,312
냉장고,refrigerator,,,冷藏庫,[sound:refrigerator.mp3],313
천천히,slowly,,,,,314
태어나다,to be born,,,,,315
한식,Korean-style food,,,韓食,,316
원,won (Korean currency);<div>circle</div>,,,圓,,317
기쁘다,"to be glad, happy, pleased",,,,,318
누나,older sister (of a male),,,,[sound:nuna.mp3],319
올해,this year,,,,,320
결혼하다,to get married,,,結婚,[sound:togetmarried.mp3],321
나이,age,,,,[sound:age.mp3],322
그림,picture,,,,[sound:picture (1).mp3],323
남다,"to remain, to be left",,,,[sound:toremain.mp3],324
달걀,egg,,,,,325
늦게,late,,,,[sound:late.mp3],326
괜찮다,to be okay,,,,[sound:tobeokay.mp3],327
침대,bed,,,寢臺,[sound:bed.mp3],328
병,"bottle;<div>sickness, disease</div>",,,甁,[sound:bottle.mp3],329
팔다,to sell,,,,[sound:tosell.mp3],330
직업,"job, occupation",,,職業,[sound:job.mp3],331
여름,summer,,,,,332
같다,"to be the same (as);<div>to look like, seem like</div>",,,,[sound:tobethesame.mp3],333
나,I (<i>informal</i>),,,,[sound:me.mp3],334
극장,movie theater;<div>theater</div>,,,劇場,[sound:theater.mp3],335
잡다,"to catch, grab, take",,,,[sound:tocatch.mp3],336
엄마,mom,,,,,337
나가다,to go out,,,,[sound:togoout.mp3],338
자전거,bicycle,,,自轉車,[sound:bicycle.mp3],339
주문하다,to order (smth.),,,注文,,340
고향,hometown,,,故鄕,,341
